iter	MAE
0	2.141243157
1	2.099145828
2	2.064903658
3	2.022472361
4	1.983941325
5	1.948842457
6	1.905195112
7	1.867111716
8	1.821410848
9	1.788319925
10	1.762584905
11	1.738420408
12	1.704820099
13	1.676773315
14	1.651026867
15	1.628612064
16	1.611294881
17	1.590506166
18	1.571690918
19	1.541691037
20	1.523952812
21	1.51268592
22	1.499322176
23	1.490894432
24	1.478606544
25	1.465885972
26	1.447349932
27	1.432689594
28	1.41764693
29	1.409328505
30	1.396764554
31	1.377772924
32	1.36611932
33	1.35771038
34	1.351495298
35	1.337818469
36	1.328379243
37	1.308779906
38	1.302665295
39	1.294247265
40	1.282864926
41	1.271664607
42	1.266446405
43	1.26153592
44	1.257048452
45	1.24870515
46	1.245217717
47	1.236700609
48	1.227359976
49	1.21339064
50	1.205885154
51	1.199529245
52	1.193370684
53	1.187688302
54	1.182891556
55	1.17565784
56	1.166821385
57	1.157399354
58	1.1549465
59	1.151236381
60	1.146208843
61	1.139340049
62	1.135190831
63	1.132053603
64	1.125967526
65	1.12137474
66	1.113917264
67	1.108998454
68	1.106389699
69	1.100297152
70	1.096062928
71	1.089405164
72	1.087059788
73	1.083717148
74	1.08094667
75	1.078678449
76	1.075712572
77	1.073824032
78	1.072020688
79	1.068518433
80	1.064629049
81	1.061162723
82	1.056556146
83	1.054792926
84	1.05175229
85	1.049093024
86	1.046456514
87	1.043525342
88	1.040470288
89	1.037158737
90	1.034122577
91	1.030422093
92	1.028855724
93	1.02695359
94	1.025160959
95	1.022985225
96	1.021435796
97	1.019857438
98	1.018627234
99	1.014712393
100	1.008331445
101	1.006074802
102	1.002473043
103	1.001294857
104	0.9958235229
105	0.9949156556
106	0.9928466504
107	0.9893794537
108	0.9871123436
109	0.9858737368
110	0.9820086296
111	0.9809434661
112	0.9793868891
113	0.9786951436
114	0.9750307957
115	0.9719610123
116	0.9705674588
117	0.9686078334
118	0.9662887491
119	0.9648344976
120	0.9631537735
121	0.9604634785
122	0.9578190813
123	0.9558718368
124	0.9543864344
125	0.9525419197
126	0.9515643582
127	0.9492391794
128	0.9473911848
129	0.9461887181
130	0.9445531217
131	0.9408831004
132	0.93975866
133	0.937340854
134	0.9348643757
135	0.9334788229
136	0.9315408569
137	0.9297468344
138	0.9280696593
139	0.9261081028
140	0.9242367024
141	0.9215202985
142	0.9187539219
143	0.9172497519
144	0.9153712047
145	0.9117618882
146	0.909613947
147	0.9073913537
148	0.9055247905
149	0.90414679
150	0.9030486532
151	0.8978348036
152	0.89660303
153	0.8928886073
154	0.8886475959
155	0.8874447904
156	0.8859262911
157	0.8845994713
158	0.8826187843
159	0.8781917733
160	0.8770244141
161	0.8752897012
162	0.8718851211
163	0.8705041562
164	0.8691719015
165	0.8660260352
166	0.8607597483
167	0.8565721267
168	0.8550368616
169	0.8532056158
170	0.8497829983
171	0.8451311286
172	0.8433885807
173	0.8371555137
174	0.8355572015
175	0.8296861535
176	0.8282981248
177	0.8194962373
178	0.8178289925
179	0.8169199563
180	0.8134016639
181	0.8096267379
182	0.8061922029
183	0.8049986134
184	0.800106568
185	0.7980635115
186	0.7962985101
187	0.7907624561
188	0.7888731976
189	0.7874436756
190	0.7864979436
191	0.7837871241
192	0.7821144286
193	0.7801914246
194	0.7792701516
195	0.7754158155
196	0.7744945639
197	0.771233089
198	0.7694281676
199	0.7650807104
200	0.7642174905
201	0.7602207038
202	0.7578553476
203	0.756095252
204	0.7523821909
205	0.7505687141
206	0.7484403044
207	0.7425618498
208	0.7411045577
209	0.7404406019
210	0.7333847448
211	0.731842861
212	0.7298278068
213	0.7278353966
214	0.7260853817
215	0.7229144721
216	0.7207246534
217	0.7175566104
218	0.7150000403
219	0.7108320736
220	0.7070151852
221	0.7057791766
222	0.7045989606
223	0.7007846593
224	0.698044845
225	0.6966153708
226	0.6950780813
227	0.6936176253
228	0.6919223307
229	0.6910264006
230	0.6879763786
231	0.6870914104
232	0.6858417069
233	0.6837840884
234	0.6821438854
235	0.6797907827
236	0.6777279479
237	0.6768135059
238	0.6744119641
239	0.6717128295
240	0.6702222455
241	0.6691313213
242	0.6667354766
243	0.6642828598
244	0.660971508
245	0.6594459558
246	0.6564431807
247	0.6555892675
248	0.6536787436
249	0.6526814472
250	0.6506664149
251	0.6488810141
252	0.6462299782
253	0.6450407648
254	0.6420937162
255	0.6393722792
256	0.6367603601
257	0.633361476
258	0.627778823
259	0.6252512989
260	0.6226352852
261	0.62152156
262	0.6200848841
263	0.6182691836
