iter	Passed	Remaining
0	29	29691
1	55	27588
2	79	26265
3	108	27134
4	131	26233
5	161	26803
6	206	29300
7	234	29091
8	266	29346
9	290	28772
10	333	29956
11	362	29855
12	392	29835
13	420	29585
14	452	29740
15	484	29823
16	513	29686
17	551	30094
18	580	29978
19	605	29648
20	640	29881
21	666	29649
22	698	29672
23	735	29902
24	771	30076
25	807	30260
26	840	30273
27	870	30222
28	901	30181
29	925	29924
30	949	29691
31	980	29666
32	1007	29525
33	1041	29599
34	1067	29424
35	1098	29404
36	1128	29379
37	1158	29336
38	1190	29337
39	1221	29327
40	1245	29134
41	1269	28952
42	1300	28946
43	1330	28916
44	1357	28806
45	1395	28948
46	1422	28847
47	1454	28854
48	1484	28806
49	1513	28756
50	1541	28679
51	1567	28578
52	1609	28751
53	1637	28681
54	1662	28571
55	1690	28500
56	1718	28435
57	1743	28311
58	1775	28315
59	1807	28318
60	1831	28190
61	1853	28044
62	1872	27854
63	1898	27772
64	1925	27702
65	1953	27644
66	1983	27624
67	2006	27504
68	2037	27492
69	2061	27383
70	2083	27256
71	2106	27145
72	2129	27035
73	2158	27006
74	2182	26913
75	2204	26796
76	2227	26705
77	2251	26614
78	2276	26537
79	2296	26408
80	2318	26302
81	2338	26183
82	2371	26197
83	2393	26099
84	2412	25970
85	2436	25893
86	2461	25830
87	2486	25765
88	2512	25717
89	2538	25665
90	2564	25614
91	2588	25552
92	2613	25486
93	2634	25388
94	2661	25350
95	2688	25318
96	2712	25253
97	2743	25248
98	2768	25200
99	2793	25143
100	2826	25157
101	2857	25154
102	2890	25172
103	2918	25147
104	2951	25161
105	2981	25147
106	3011	25129
107	3041	25122
108	3071	25108
109	3101	25095
110	3128	25053
111	3153	25006
112	3187	25017
113	3214	24979
114	3240	24935
115	3264	24879
116	3287	24812
117	3313	24770
118	3337	24711
119	3362	24658
120	3390	24631
121	3414	24571
122	3438	24516
123	3475	24551
124	3503	24523
125	3533	24507
126	3562	24488
127	3597	24507
128	3626	24489
129	3657	24476
130	3682	24431
131	3713	24416
132	3746	24423
133	3776	24407
134	3809	24408
135	3839	24390
136	3862	24333
137	3886	24279
138	3917	24268
139	3948	24256
140	3972	24198
141	3993	24131
142	4020	24096
143	4059	24129
144	4093	24140
145	4125	24130
146	4149	24080
147	4175	24038
148	4208	24037
149	4245	24056
150	4278	24058
151	4306	24024
152	4334	23993
153	4374	24029
154	4397	23975
155	4425	23941
156	4460	23949
157	4493	23948
158	4523	23928
159	4556	23919
160	4583	23885
161	4610	23849
162	4636	23810
163	4667	23791
164	4710	23838
165	4737	23800
166	4764	23764
167	4787	23710
168	4824	23721
169	4855	23705
170	4883	23675
171	4919	23683
172	4949	23662
173	4977	23627
174	5007	23605
175	5034	23572
176	5071	23582
177	5098	23546
178	5123	23498
179	5153	23475
180	5183	23455
181	5207	23404
182	5231	23355
183	5257	23313
184	5282	23270
185	5309	23236
186	5339	23215
187	5370	23197
188	5399	23169
189	5428	23143
190	5451	23092
191	5471	23027
192	5502	23006
193	5526	22960
194	5560	22956
195	5589	22927
196	5620	22911
197	5645	22867
198	5671	22828
199	5699	22796
200	5726	22761
201	5749	22713
202	5771	22660
203	5798	22624
204	5828	22603
205	5860	22587
206	5896	22588
207	5923	22554
208	5953	22533
209	5979	22495
210	6008	22466
211	6051	22491
212	6086	22488
213	6121	22484
214	6146	22441
215	6175	22415
216	6204	22386
217	6226	22335
218	6250	22291
219	6276	22251
220	6301	22211
221	6328	22179
222	6355	22146
223	6385	22122
224	6414	22093
225	6442	22063
226	6482	22075
227	6511	22047
228	6542	22028
229	6581	22033
230	6609	22002
231	6639	21978
232	6667	21948
233	6692	21906
234	6723	21886
235	6752	21859
236	6778	21821
237	6807	21795
238	6839	21778
239	6866	21745
240	6904	21745
241	6940	21737
242	6973	21723
243	7011	21723
244	7040	21696
245	7068	21664
246	7091	21620
247	7123	21601
248	7149	21564
249	7172	21518
250	7204	21498
251	7235	21477
252	7275	21482
253	7302	21446
254	7343	21453
255	7373	21428
256	7397	21386
257	7429	21366
258	7448	21311
259	7480	21291
260	7506	21253
261	7535	21224
262	7562	21193
263	7593	21168
264	7623	21145
265	7660	21137
266	7691	21115
267	7722	21093
268	7750	21060
269	7788	21056
270	7815	21023
271	7848	21007
272	7882	20990
273	7917	20977
274	7949	20958
275	7975	20921
276	8000	20881
277	8030	20857
278	8056	20820
279	8085	20790
280	8119	20775
281	8155	20763
282	8191	20753
283	8228	20745
284	8252	20704
285	8277	20666
286	8304	20630
287	8333	20602
288	8365	20581
289	8397	20558
290	8435	20551
291	8467	20530
292	8494	20497
293	8524	20471
294	8560	20458
